# 未使用数据(仅供参考，非批次文件)
# 这里是当前剩余、尚未进入任何批次的评论。
# 每次运行 01_sampling_data.py 后本文件会被刷新。

[ID:19373168392] [rating:1] 垃圾游戏.垃圾游戏,乱封号,申诉界面连图片都添加不了,qq群连续加了两天愣是没人回,跑步机运动十公里直接把我封十年,没开挂一次警告都没有,垃圾运营垃圾游戏.申诉完到现在也没解封

[ID:水墨墨水自闭ing] [rating:5] 五星只是想显眼.讲真,这游戏对游客真不好.集市里的东西不能买我忍了,新出一个健康系统玩一小时停十五天...明明已经实名认证了已成年还玩这套...关键是好不容易肝到40级的号,说弃就弃...泪目,佛了

[ID:孤独评论人寂寞的风景] [rating:5] 中国版精灵宝可梦.NS上的精灵宝可梦游戏很贵,来自无氪金玩家的泪啊😭有了这款游戏,再也不怕没钱了.这款游戏也是以抓小精灵,升级和战斗为主,换装为辅,个人体验感觉很好.希望这款“中国版精灵宝可梦”越来越好

[ID:岛屿求生存] [rating:4] 游戏就一般般而已..不能自己走害得我不能抓胡巴.所以不怎么好玩.

[ID:上官霄霄] [rating:5] 很不错.找回童年的回忆了感觉很不错.就是抓宠物难找

[ID:笑颜D蓝斯] [rating:5] 强烈要求增加传送机制..强烈要求增加一个传送机质,我两个号一个废了,我想把妖灵转过去.但是都升级了.增加一个传送机制.

[ID:秀豆糖糖] [rating:1] 腾讯游戏就是卡.做的什么玩意一整就卡个一小时菜腾讯什么游戏都做不好

[ID:福州帅学生] [rating:5] 满资快活妖.玩这游戏整整539天满资16只.大佬们都50多只了这个欧气好难啊

[ID:浠水梦] [rating:1] 垃圾游戏,玩了不到20分钟说游戏时间过长,封号半个月…….什么垃圾,4号下午下载的,玩了半小时,5号早上玩了不到20分钟突然强制我退出,说我玩的时间太长了,20分钟不到,太长了……不知道他们对于时间是什么衡量标准,然后和我说下次可以登陆时间20号,今天才5号,不就是封号半个月,有毛病吧,关键是早上就做做日常任务,抓抓妖,其他啥也没干啊,垃圾游戏……

[ID:迪士尼在逃公主豌豆] [rating:1] 加载页面卡住.....目前在下第二遍,第一遍加载到百分之六十左右停住了,等了5分钟依旧没有反应,网上搜索建议再下,玩个游戏都这么难的嘛……

[ID:sgxblgufjd] [rating:1] 慢慢慢慢慢.下载慢,加载慢,连正常wifi20分钟才下载一半,生气了,这年头还有手机得下20分钟还下不好的.....差评

[ID:1272693] [rating:5] 很喜欢.做的挺不错的,就是VR有时候在比较小的空间里会挤着你,不充钱也能玩,肝起来比较容易,每天出去逛一逛就能开个灵石,在走路的时候也会提醒你不要玩,很安全.

[ID:绿荒原] [rating:1] 垃圾.垃圾游戏,天天就是捉捉捉,打擂台,不能出点新模式.提交意见也不理

[ID:12一下] [rating:1] 客服会删除人.在微信群里找客服不知道怎么找得下面就出说上不说话什么玩意.客服还把我删除了.

[ID:gagagajack] [rating:4] 卖服装.希望作者能做一些漂亮但不用充值买的服装.

[ID:聪明小糊涂] [rating:1] 太肝了,弃坑弃坑.每天要花大量的时间才能做完任务,基本都是飞机万家,举报多了才封,骂人根本不管

[ID:macymacy999] [rating:4] 加载太慢.我开始加载的时候非常慢后面还进不去,请改正

[ID:草儿家的花儿] [rating:5] ....我是老玩家,我玩了好长时间,可是为什么我在玩就进不去了,这是为什么.

[ID:Asuka1870] [rating:1] 烂游戏策划寄刀片.从公测第一天玩了半年吧,这游戏早卸载了还给刷了五星必须评价一下.这游戏硬生生把玩家玩绝路逼,所有开挂的都成了大佬,比RMB玩家还强,我们老老实实玩游戏的被吊打,天天想着怎么圈钱,策划我真想骂脏话（素质）

[ID:鱼一页页] [rating:1] e…….看了你们评论我不敢充钱了,我以前玩还好好的,真没想到TX为了赚钱这么ex,大家看到的赶紧删了吧,别把精力花在这样的垃圾游戏上.

[ID:瞪大了。] [rating:5] 必须打五星.太值了..真的是减肥神器.各种可爱的小怪物

[ID:urbdgg] [rating:1] 内存容量是假的.还没怎么玩呢.下载2G,数据文稿居然要接近3个G,无语了.

[ID:王子111111111] [rating:5] 非常好玩的游戏.这是我玩过最休闲的游戏了

[ID:衡常性] [rating:3] ..原本是一个挺好的游戏却被策划盘坏了,三颗全为了情怀.

[ID:Sweetchildom] [rating:1] 挂比满天飞,策划内外勾结,利用擂台挂赚钱.垃圾游戏,每日一评

[ID:Klhgg] [rating:1] 412玩家血泪.大家千万不要玩这个游戏,这是我玩过的最黑暗的游戏,勾心斗角,安排卧底,为了打击敌方势力无所不用其极.我玩了一年,那些号称普通玩家的线下组织人,为了刺激玩家消费,各种挑拨离间.现在更是勾结策划用内部的擂台挂,自动守擂台无伤挂,我们的举报石沉大海,而那些开擂台挂的人依旧逍遥法外.为了黑,贴吧各种舆论压力散布谣言,我们举报擂台挂的帖子秒被删,这个游戏真牛逼.官托游戏,普通玩家不配玩

[ID:柏林巴巴] [rating:1] 策划包庇外挂,建议下架应用.这游戏玩了一年多,外挂不断,最近两个月擂台秒杀挂猖獗,各渠道举报都石沉大海,腊鸡策划勾结贩卖外挂,恶意挑动狗托煽动圈战以此获利,充值几万不如擂台秒杀挂一打10完全不虚.更有策划勾结贴吧大小吧主进行恶意舆论导向,败坏游戏社区风气.请下架该应用,腊鸡游戏.新玩家别下载...

[ID:夜的孪生] [rating:1] 好游戏被策划和官托玩死.这游戏坚持玩了一年,氪金肝妖敲鼓一个不落,现在却要被擂台挂劝退,本来还指望官方能处理下擂台挂,坚持举报三个月了却没有任何反馈,跑到贴吧发贴被吧主秒删,完了还要封我号,我真是呵呵了,官方这是掩耳盗铃.后面才知道擂台挂是为了刺激玩家氪金官方弄出来的,开挂的人都是线下活动组织人圈子的,他们被封了第二天还能解封,策划和官托,你们真的牛皮.不想着好好做游戏,尽弄些阴私诡计,再见了,你们自己玩吧.

[ID:小飞仔17662429] [rating:1] 开服玩到现在,心凉啦.大家千万不要玩这个游戏,我玩了一年,辛辛苦苦每天肝满,结果被策划用内部的外挂直接打弃坑了这个游戏真牛逼策划勾结工作室做外挂太厉害了.真的太恶心啦,各种套路骗钱

[ID:猫熊熊熊] [rating:5] 游戏不错.游戏不错,就是活动不尽人意,没有新意.

[ID:晓南不高兴] [rating:5] 感谢捉妖.不得不说真的是一款很好的游戏,让我们全家都出门捉妖,锻炼了身体.

[ID:あげ༂ༀ] [rating:5] 打五星只是为了被看到.我仰慕这游戏很久了,没想到也只是这样.

[ID:这个迈着 萨克塞纳先是] [rating:4] 国外为什么不可以玩.在国外现在可以玩么,我以前在国内的时候玩的不错,出国后就地区限制啦,地区未开发,不知道现在可以玩

[ID:ghfgfhkfc,hgcgh] [rating:5] 新手家老玩家,我是个老玩家了,但是我不小心把游戏删手机下载一下..虽然有点无聊,,但还是给个好评吧.

[ID:小熊猫888666] [rating:5] 这游戏我刚下载没玩就有缺点.我给五星是为了能看到,这游戏我还没玩呢刚想进去玩就加载了5分钟还进不去,请改进

[ID:xiaobian0326] [rating:1] 游戏内部人员控制舆论,带头开秒杀挂.内部人员自己圈子卖脚本机卖秒杀挂,开秒杀挂,贴吧曝光各种被删帖,毫无公屏可言,花钱不如买秒杀挂

[ID:16圆] [rating:1] 太坑了.每天捉230个妖,很久不出满资了,小区附近也天天刷新那几只妖

[ID:鄙视国产货] [rating:1] 垃圾游戏.腾讯游戏,你懂的,就是氪金,拼钱的.

[ID:阿蒙家的小狼崽] [rating:5] 主充.我还是喜欢内测的时候的那只主宠狼.“我是狼,不是二哈.”

[ID:黑暗中盛开的向日葵] [rating:1] 垃圾游戏.天天就知道封号封号谁钱冲的多就不封别人开外挂打擂台飞机随便飞也不封本来很喜欢的游戏,现在变成了一起来举报.人多举报就能把你关小黑屋,一点公平性没有.

[ID:37899348] [rating:3] 照妖镜到底怎么得啊.我已经玩了好久但照妖境始终不出活动想买也买不着就差一个火灵了

[ID:别一起捉妖] [rating:1] 真细节.这款游戏已经细节到你做的每一部都细节到烂,真恶心,

[ID:你是蛋挞] [rating:1] 最不值的一个游戏.外挂满天飞游戏只圈钱越做越垃圾居然还有人玩

[ID:烦恼水晶球🔮] [rating:5] 最近疫情不能出门了,多在家里刷新妖灵可以吗..如上

[ID:你老母，老窦啊] [rating:1] 真是一款最垃圾我是玩过最扎心游戏.目前48级快49了,开服到现在.46级之后打擂台我一挑三被这三个人针对,而后没打了,奇怪的是三天两头就封号.然后啥也不干了,还是被封号.这游戏是某讯某光子最失败的了.擂台就是打,打不过就举报,真是小人得志,策划设计也.啥不说了,38级那会就应该退了.

[ID:sunnyboy201314] [rating:1] 垃圾游戏..真个是垃圾到不能再垃圾的游戏.明明没有任何违规行为,被人花钱举报就能封号.你们还敢再垃圾一点吗.冲了钱的你们就等着被恶意封号吧.老子永远不会再给你充一分钱啦.垃圾游戏,垃圾腾讯.

[ID:坑爹麻花] [rating:1] 游戏太垃圾..什么意思.什么意思.为什么我把游戏删了就不能再下载玩了.你们是嫌我把你们的游戏删了还是怎么的.垃圾游戏.👎👎👎💩💩💩

[ID:游荡的亡魂] [rating:1] 无理由封号.这游戏本来是个好游戏,被策划搞成了垃圾游戏,而且遇到了问题没有任何申诉的机会,客服的态度就跟甲方爸爸一样,游戏账号说封就封(没有使用任何非法程序的情况下),游戏bug吞掉的道具,怎么申诉都不赔偿,这么一个游戏服务质量还有什么好玩的.

[ID:一定程度的话。我们在] [rating:3] 看一下吧..要进入游戏,太慢了,我想玩也玩不了,希望官方能改一下.

[ID:jsjs7sns] [rating:1] 就这..一星评论怎么这么少,之前肝那么久,现在随便一下就可以升.不给老用户一点福利

[ID:zzbpwhqhsj] [rating:1] 一起来广州..嘉年华一天云纹200w句芒随便抓.肝几个月比不上一天.真是个好游戏呢策划长点脑子吧滚吧垃圾游戏

[ID:Goicekun] [rating:3] 声音太大..腾讯的游戏我下了这么多,就你一个进入游戏画面声音贼大.这么久还没改吗.系统内改也没用以及捉妖记的妖灵实在太丑了,不懂为什么要搞这个合作,让人感到浑身不适的那种丑

[ID:DYSAYARE] [rating:1] Badgame.只要不是大陆人就不能玩.我在新加坡玩不到.不好

[ID:caccdbg] [rating:1] 要死了要死了桌面声音为什么这么想.要死了要死了桌面声音为什么这么想

[ID:初心如玉] [rating:1] 没有开挂凭什么封我.没有开挂凭什么封我.申诉没有用就说开了,打擂台打不过举报就完事了.呵呵哒垃圾游戏,从开服到现在49级,游戏已删,小作坊的游戏真心不要玩了,垃圾中的战斗机

[ID:曦泠萱] [rating:1] 系统乱封号.别人工作室攒钱举报高级玩家,系统连续封,有毛病呀,赶紧把钱退回来

[ID:花飞蝶弄影] [rating:1] 给一分都嫌太多..411天天纯陆军主播都进去了,这游戏还玩个鬼圈里面各种陆军也都无故进去,没救了,游戏改名叫一起来举报得了

[ID:DD〜F] [rating:1] 垃圾游戏..只会封号,内部人员收钱办事.垃圾.

[ID:411的老捉妖师] [rating:1] 能给无星吗.这样的游戏一年以来没什么变化啃老本外挂一大堆还瞎封号出了一年的小学生活动不值得花钱进去因为花钱不花钱没有大的区别赶紧关服算求浪费多少人的时间

[ID:成功就能够得到] [rating:1] 别下了.真心不好玩,直接把游戏做成现在这个样子,游戏真的凉了

[ID:好0084] [rating:2] 密码.垃圾游戏,下载起先不用密码,后来又要密码了,有些还要付钱不要下载.

[ID:风轻云净] [rating:1] 游戏还行就是腾讯垃圾.逼着大家到处跑疫情来了跑个鬼神行限制多一般玩家都玩不下去的

[ID:rgx011] [rating:1] 乱封劝退..封号系统问题这么大.策划反思一下这么难吗.

[ID:8183729287733] [rating:5] 只是想让你们看见.太垃圾,别充钱,一充钱就封号十年,还有很多内部人员开挂,垃圾中的垃圾,真希望客服和你们看一看,千万别下载.......

[ID:风四爷、do] [rating:2] 跟编剧一样,废了.这游戏刚出的半年,是真的不错,会经常出门抓怪,跟朋友一起喝着奶茶一起聊天,一起抓.很不容易抓到一个32全满的时候,一晚上激动.每天也会在定点的时候去打boss跟擂台,还有就是为了打一点鼓赚一点球,很有乐趣的.可惜,半年时间,一个定位,一群工作室,凉了.好怀念当初玩的感觉,如果有怀旧服,我觉得还是会回来玩的,现在嘛,再见了.

[ID:逝水流年浮生梦] [rating:1] 玩得心态爆炸.抓的还不如孔明灯抓的资质好,一万多只才一个满资,删了删了

[ID:姽婳之久] [rating:3] 太累太辛苦.本来挺好一运动游戏,整得太累了,还成天打擂守擂,成天得抓,太累了,玩不动.

[ID:寒心的老玩家。] [rating:1] 关于捉妖.体验感一直在直线下降,遍地皆是开挂者,然后就因打擂多就被封号伺候,实则那些开挂的飞行员天天腆着老脸举报人,然后一天天平安无事的接着开挂到处做老大,游戏上仗着开挂打擂速度快刷喇叭骂人的事数不胜数,搜索擂台挂都有,然后官方当做没看到🙂心寒,老玩家越退越多,如果机制不改的话,只希望这个游戏也赶紧倒吧🥱

[ID:尴尬好尴尬褂] [rating:1] 垃圾游戏.真怀疑这个游戏的策划是兼职,找一头猪来都比现在的策划强

[ID:傲娇乐乐] [rating:5] 很好的,希望妖灵可以有更多.妖灵再每个地方更新的数量太少了,但是还是支持你们的,加油💪

[ID:豆瓣66666] [rating:1] 突然想起,顺手给个一星.退坑好久了,搜其他应用出现了这个,顺手给个差评.
